월별,평균기온 (℃),평균최고기온 (℃),최고기온 (℃),평균최저기온 (℃),최저기온 (℃),강수량 (㎜),평균상대습도 (%),최소상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (10%),일조시간 (h),최심신적설 (㎝),평균풍속 (㎧),최대풍속 (㎧),최대순간풍속 (㎧),평균기온 (℃),평균최고기온 (℃),최고기온 (℃),평균최저기온 (℃),최저기온 (℃),강수량 (㎜),평균상대습도 (%),최소상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (10%),일조시간 (h),최심신적설 (㎝),평균풍속 (㎧),최대풍속 (㎧),최대순간풍속 (㎧),평균기온 (℃),평균최고기온 (℃),최고기온 (℃),평균최저기온 (℃),최저기온 (℃),강수량 (㎜),평균상대습도 (%),최소상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (10%),일조시간 (h),최심신적설 (㎝),평균풍속 (㎧),최대풍속 (㎧),최대순간풍속 (㎧)
평균,14.6,20.1,38.5,10.3,-11.5,1427.9,71,5,1016.9,8.5,5.1,2372.5,17.1,1.6,11.6,20.4,14.7,20,34.8,10.5,-5.9,1085.9,69,6,1016.6,8.3,5.4,2290.1,3.8,1.5,12.5,23.5,14.5,19.6,34.4,10.5,-8.9,2027,71,1,1016.9,8.4,5.6,2225.1,16.9,1.6,10,19.8
1월,-0.2,4.5,11.4,-3.8,-11.5,38.8,67,14,1024.7,-6.4,4.7,170.4,17.1,1.5,6.7,12.5,1.8,7,10.5,-2.1,-5.9,16.4,59,7,1026.7,-6.1,4.1,212.7,3.8,1.4,5.4,10.8,4.6,9,17.7,1.2,-4.9,74.9,68,13,1023.4,-1.5,6.3,136.5,-,1.4,10,19.8
2월,1.8,7.1,15.9,-2.8,-10,22,54,8,1024,-7.7,4.8,172.7,6.6,1.6,8.3,14.6,3.6,9,15.6,-0.7,-4.9,37,58,8,1024.4,-5,5.8,165.6,-,1.5,6.5,13.4,5.3,10.6,19.8,0.8,-7,47.8,67,10,1025.1,-1.3,4.9,177,10.9,1.4,5.5,10.8
3월,10,16.5,24.8,4.7,-3.1,115.8,72,5,1020.2,4.3,4.9,200,1,1.8,7.9,12.6,8.4,14.7,20.7,3.4,-0.6,33.9,61,9,1018.3,0.3,4.8,212,-,1.7,9.1,16.9,9,15.2,23.3,3.8,-2.2,43.5,58,1,1018.6,-0.3,4,242,-,1.7,7.9,15
4월,15.1,21.5,30.2,9.7,1.1,127.4,67,11,1016,7.8,4.7,218.2,-,1.7,10.6,18.2,13,18.8,27.9,8.4,0.9,84.7,67,10,1015.5,5.6,5.8,174,-,1.5,8,16.2,11.5,18,25.6,6.2,1.6,55.3,52,5,1018.4,0.4,3.3,278.1,-,1.8,9.1,14.8
5월,19.5,25,31.1,14.8,7.8,85.4,74,16,1011.8,13.9,5.9,189,-,1.6,6.7,12.8,19.2,26.2,30.7,13.1,6.8,78.8,58,11,1012.7,9.2,4.4,289.3,-,1.6,7.2,13.1,18.8,24.4,30.1,14.2,10.4,96.8,73,12,1010.7,13,6.1,211.3,-,1.7,7.9,12.8
6월,23.6,29.5,34.5,19.2,15.7,222.4,74,24,1008,17.9,6,204.9,-,1.5,6.1,10.2,22,27.4,31.7,17.9,13.5,158,79,28,1007.3,17.5,6,196.8,-,1.3,5.8,9.8,23.6,28.8,33.7,19.6,14.2,199.9,79,21,1006.6,19.1,6.5,191.4,-,1.6,6.9,10.9
7월,28.3,33.5,38.5,24.5,20.4,84.5,79,36,1008.4,23.9,4.7,234.3,-,1.7,6,11.2,25.3,29.4,32.9,22.4,19.1,242.2,84,31,1006.5,22.1,7.4,140.5,-,1.8,7.6,13.6,23.4,26.8,31.6,20.8,17.8,533.3,91,49,1006.7,21.6,8.7,69.5,-,1.5,8.3,13.7
8월,28.4,33.7,38.5,24.9,20.6,397.1,78,36,1007.1,23.6,6,229,-,2,7.9,17.5,27,31.3,34.8,23.8,20.1,64.8,80,37,1007,23,6.4,192.2,-,1.5,6,13.8,27.6,31.6,34.4,24.8,23,738.1,89,50,1009.2,25.4,6.6,169.8,-,2.2,8.4,16.9
9월,21.6,26.3,29.7,18,11.6,129.7,78,34,1013,17,6.2,159.3,-,1.5,5.8,11.4,22.9,27.2,30.6,19.6,13.7,165.8,82,25,1013.9,19.3,6.5,145.8,-,1.6,12.5,23.5,21.3,25.7,31.1,17.9,13,178.3,85,30,1011.8,18.2,6.3,158.7,-,1.5,7,14.9
10월,14.5,19.9,25.4,10.1,5.6,125.2,72,19,1019,8.8,4,225.7,-,1.4,11.6,20.4,17.1,22.2,28.4,13,6.7,149.9,74,22,1018.6,11.6,4.7,205.7,-,1.2,7.4,12.5,15.7,21.2,26.2,11.2,6.5,12.1,64,12,1020.5,8,4.6,227.6,-,1.2,5.3,9.8
11월,9.9,15.5,21,5.3,0.4,47.2,70,15,1023.6,3.7,3.8,197.1,-,1,7.7,12.5,10.8,16.9,22.9,6,0.1,22.8,66,8,1022.7,4,4.1,187.5,-,1.2,7.7,14.9,10.5,15.6,23.6,6.4,0.1,28.3,63,12,1024.9,3,4.8,176.7,-,1.4,8.8,13.3
12월,3.2,7.8,19.8,-0.6,-7,32.4,62,9,1027.3,-4.4,5.2,171.9,-,1.7,6.5,12.2,4.8,9.5,16.3,1,-5,31.6,62,6,1025.9,-2.5,5.2,168,-,1.3,5.7,11.9,2.7,7.8,13.8,-1.1,-8.9,18.7,62,7,1026.6,-4.8,4.8,186.5,16.9,1.4,5.3,9.9
연도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
