연도,월,지역,태양광 전체 설비용량(MW),풍력 전체 설비용량,ESS연계 태양광 설비용량,ESS연계 풍력 설비용량,태양광ESS 설비용량,풍력ESS 설비용량
2018,1,경기도,106.8,5.3,2,3,2,0.1
2018,1,강원도,152.5,323.3,10.5,48,8.9,9
2018,1,경상남도,164.1,47.8,17.3,14,15.4,3
2018,1,경상북도,256.4,337,23.1,90.3,21.2,23.8
2018,1,전라남도,619.6,206.2,47.6,75.8,40.6,9.3
2018,1,전라북도,130.8,19.5,23.7,5,15,1.2
2018,1,충청남도,287.2,2,2.9,0,1.9,0
2018,1,충청북도,92.8,0,8.7,0,5.6,0
2018,1,제주도,122.3,272.8,0,77,0,13.5
2018,1,서울시,11.2,0,0.1,0,0.1,0
2018,1,인천시,25.6,49,7.2,46,6.6,8
2018,1,대전시,11.6,0,0,0,0,0
2018,1,광주시,32.3,0,3.6,0,2.3,0
2018,1,대구시,26.3,0,0,0,0,0
2018,1,세종시,9,0,1.6,0,1,0
2018,1,울산시,13.2,1.7,0,0,0,0
2018,1,부산시,50.3,0.8,4.2,0,3.5,0
2018,2,경기도,109.4,5.3,2,3,2,0.1
2018,2,강원도,160.9,323.3,10.5,48,8.9,9
2018,2,경상남도,167.4,47.8,18.1,14,16.2,3
2018,2,경상북도,258.8,337,24.9,90.3,22.7,23.8
2018,2,전라남도,619.6,226.9,47.6,75.8,40.6,9.3
2018,2,전라북도,131.9,19.5,24.7,5,15.9,1.2
2018,2,충청남도,288.7,2,3.2,0,2.2,0
2018,2,충청북도,93.4,0,8.7,0,5.6,0
2018,2,제주도,123.8,267.9,1,77,1,13.5
2018,2,서울시,11.2,0,0.1,0,0.1,0
2018,2,인천시,25.6,49,7.2,46,6.6,8
2018,2,대전시,11.6,0,0,0,0,0
2018,2,광주시,33.3,0,3.6,0,2.3,0
2018,2,대구시,26.3,0,0,0,0,0
2018,2,세종시,10.5,0,1.6,0,1,0
2018,2,울산시,13.2,1.7,0,0,0,0
2018,2,부산시,50.3,0.8,4.2,0,3.5,0
2018,3,경기도,112.5,5.3,2,3,2,0.1
2018,3,강원도,163.8,323.3,12.5,48,10.9,9
2018,3,경상남도,174,47.8,18.8,14,16.7,3
2018,3,경상북도,262,337,26.1,90.3,23.9,23.8
2018,3,전라남도,636.6,226.9,56.3,75.8,48.3,9.3
2018,3,전라북도,133.3,19.5,26.1,5,17.2,1.2
2018,3,충청남도,289.8,2,3.4,0,2.4,0
2018,3,충청북도,97.4,0,8.7,0,5.6,0
2018,3,제주도,125.3,267.9,1,77,1,13.5
2018,3,서울시,11.2,0,0.1,0,0.1,0
2018,3,인천시,25.6,49,7.2,46,6.6,8
2018,3,대전시,11.6,0,0,0,0,0
2018,3,광주시,35.1,0,3.6,0,2.3,0
2018,3,대구시,26.3,0,0,0,0,0
2018,3,세종시,10.5,0,1.6,0,1,0
2018,3,울산시,13.2,1.7,0,0,0,0
2018,3,부산시,50.3,0.8,4.2,0,3.5,0
2018,4,경기도,112.6,5.3,2.1,3,2.1,0.1
2018,4,강원도,166.4,323.3,12.7,48,11.1,9
2018,4,경상남도,174.9,47.8,21,14,18.9,3
2018,4,경상북도,264.5,337,29.1,90.3,26.9,23.8
2018,4,전라남도,642,226.9,84.9,75.8,73.2,9.3
2018,4,전라북도,134.6,19.5,27.4,5,18.2,1.2
2018,4,충청남도,292.1,2,4.1,0,2.9,0
2018,4,충청북도,99.5,0,8.7,0,5.6,0
2018,4,제주도,128.1,267.9,1,77,1,13.5
2018,4,서울시,11.2,0,0.1,0,0.1,0
2018,4,인천시,25.6,49,7.2,46,6.6,8
2018,4,대전시,11.6,0,0,0,0,0
2018,4,광주시,35.1,0,3.6,0,2.3,0
2018,4,대구시,26.3,0,0,0,0,0
2018,4,세종시,10.5,0,1.6,0,1,0
2018,4,울산시,13.2,1.7,0,0,0,0
2018,4,부산시,50.3,0.8,4.2,0,3.5,0
2018,5,경기도,113.8,5.3,2.1,3,2.1,0.1
2018,5,강원도,173.9,323.3,13,48,11.4,9
2018,5,경상남도,177.4,48.6,24.9,14,22.6,3
2018,5,경상북도,275.6,337,32.6,90.3,29.9,23.8
2018,5,전라남도,644.6,226.9,118.5,75.8,100.8,9.3
2018,5,전라북도,145.3,19.5,32.1,5,22,1.2
2018,5,충청남도,299.5,2,14.9,0,13,0
2018,5,충청북도,103.5,0,8.7,0,5.6,0
2018,5,제주도,131.9,267.9,1,77,1,13.5
2018,5,서울시,11.3,0,0.2,0,0.2,0
2018,5,인천시,25.6,49,7.2,46,6.6,8
2018,5,대전시,11.6,0,0,0,0,0
2018,5,광주시,36.9,0,3.7,0,2.3,0
2018,5,대구시,27.5,0,1.1,0,1.1,0
2018,5,세종시,10.5,0,1.6,0,1,0
2018,5,울산시,13.2,1.7,0,0,0,0
2018,5,부산시,50.3,0.8,4.2,0,3.5,0
2018,6,경기도,115,5.3,3.3,3,2.8,0.1
2018,6,강원도,180.8,323.3,22,48,19.9,9
2018,6,경상남도,183.5,48.6,28.2,32.8,25.4,5
2018,6,경상북도,282.3,337,37,114.5,33.6,29.8
2018,6,전라남도,650.2,226.9,139.8,135.8,117,20.3
2018,6,전라북도,154,19.5,41.9,5,30.6,1.2
2018,6,충청남도,304.9,2,16.5,0,14.6,0
2018,6,충청북도,105.1,0,13.2,0,9.7,0
2018,6,제주도,133.1,267.9,1.9,77,1.9,13.5
2018,6,서울시,11.3,0,0.2,0,0.2,0
2018,6,인천시,25.6,49,7.2,46,6.6,8
2018,6,대전시,11.6,0,0,0,0,0
2018,6,광주시,40.2,0,3.7,0,2.3,0
2018,6,대구시,27.5,0,1.1,0,1.1,0
2018,6,세종시,12.2,0,1.6,0,1,0
2018,6,울산시,14.2,1.7,0,0,0,0
2018,6,부산시,50.8,0.8,4.7,0,3.8,0
2018,7,경기도,116.8,5.3,4.3,3,3.5,0.1
2018,7,강원도,185.3,323.3,24.1,48,20.9,9
2018,7,경상남도,189.5,48.6,33.2,32.8,30,5
2018,7,경상북도,300.9,337,47.7,114.5,42.7,29.8
2018,7,전라남도,666,226.9,157.4,135.8,132.9,20.3
2018,7,전라북도,186.5,19.5,54.4,5,40.7,1.2
2018,7,충청남도,310.8,2,28.1,0,24.8,0
2018,7,충청북도,111.6,0,17.3,0,12.6,0
2018,7,제주도,134.8,267.9,4.3,77,4.1,13.5
2018,7,서울시,11.3,0,0.2,0,0.2,0
2018,7,인천시,25.6,49,7.2,46,6.6,8
2018,7,대전시,11.6,0,0,0,0,0
2018,7,광주시,40.6,0,3.7,0,2.3,0
2018,7,대구시,29.6,0,3.2,0,3.1,0
2018,7,세종시,12.2,0,1.6,0,1,0
2018,7,울산시,14.2,1.7,0,0,0,0
2018,7,부산시,52.2,0.8,9,0,7.1,0
2018,8,경기도,120.3,5.3,5.8,3,5,0.1
2018,8,강원도,189.5,325.6,25.1,48,21.7,9
2018,8,경상남도,192.9,48.6,35.1,32.8,32,5
2018,8,경상북도,311.4,337,52.2,114.5,46.9,29.8
2018,8,전라남도,674.1,226.9,171.3,135.8,144.9,20.3
2018,8,전라북도,189.2,19.5,57.5,5,43.8,1.2
2018,8,충청남도,316.1,2,34.4,0,30.3,0
2018,8,충청북도,111.6,0,19.3,0,14.6,0
2018,8,제주도,146.9,267.9,7.2,77,6.7,13.5
2018,8,서울시,11.3,0,0.2,0,0.2,0
2018,8,인천시,25.6,49,7.2,46,6.6,8
2018,8,대전시,11.6,0,0,0,0,0
2018,8,광주시,41.7,0,4.8,0,3.5,0
2018,8,대구시,29.6,0,3.2,0,3.1,0
2018,8,세종시,12.2,0,1.6,0,1,0
2018,8,울산시,14.2,1.7,0,0,0,0
2018,8,부산시,53.2,0.8,9.9,0,8.1,0
2018,9,경기도,121.8,5.3,5.8,3,5,0.1
2018,9,강원도,196.2,325.6,28.8,48,25.6,9
2018,9,경상남도,192.9,48.6,35.1,32.8,32,5
2018,9,경상북도,312.9,390.4,53.8,114.5,48.5,29.8
2018,9,전라남도,678,288.1,205.2,135.8,168.8,20.3
2018,9,전라북도,192.7,19.5,59.3,5,45.6,1.2
2018,9,충청남도,323.8,2,37.1,0,31.9,0
2018,9,충청북도,115.3,0,23.1,0,17.4,0
2018,9,제주도,151.6,267.9,7.2,77,6.7,13.5
2018,9,서울시,11.3,0,0.2,0,0.2,0
2018,9,인천시,25.6,49,7.2,46,6.6,8
2018,9,대전시,11.6,0,0,0,0,0
2018,9,광주시,41.7,0,4.8,0,3.5,0
2018,9,대구시,29.6,0,3.2,0,3.1,0
2018,9,세종시,12.2,0,1.6,0,1,0
2018,9,울산시,14.2,1.7,0,0,0,0
2018,9,부산시,53.2,0.8,9.9,0,8.1,0
2018,10,경기도,122.7,5.3,6.8,3,5.1,0.1
2018,10,강원도,199.2,325.6,28.8,48,25.6,9
2018,10,경상남도,192.9,48.6,35.1,32.8,32,5
2018,10,경상북도,313.4,390.4,61.1,114.5,54,29.8
2018,10,전라남도,683.6,306.5,210.3,135.8,173.8,20.3
2018,10,전라북도,197.4,19.5,63.2,5,48.8,1.2
2018,10,충청남도,326.5,2,49.3,0,44.2,0
2018,10,충청북도,125.3,0,24,0,18.4,0
2018,10,제주도,157.2,266.4,7.2,77,6.7,13.5
2018,10,서울시,11.4,0,0.3,0,0.3,0
2018,10,인천시,25.6,49,7.2,46,6.6,8
2018,10,대전시,11.6,0,0,0,0,0
2018,10,광주시,41.7,0,4.8,0,3.5,0
2018,10,대구시,29.6,0,3.2,0,3.1,0
2018,10,세종시,12.2,0,1.6,0,1,0
2018,10,울산시,14.2,1.7,0,0,0,0
2018,10,부산시,53.2,0.8,9.9,0,8.1,0
2018,11,경기도,123.4,5.3,7.4,3,5.8,0.1
2018,11,강원도,212.7,327.9,37.6,48,33.7,9
2018,11,경상남도,194.8,48.6,35.1,32.8,32,5
2018,11,경상북도,319.5,390.4,62.4,114.5,55.3,29.8
2018,11,전라남도,692,306.5,215.5,135.8,178.6,20.3
2018,11,전라북도,205.8,19.5,67.3,5,52.5,1.2
2018,11,충청남도,331.1,2,59,0,52.5,0
2018,11,충청북도,126.7,0,26.9,0,20.4,0
2018,11,제주도,163.1,266.4,8.3,77,7.8,13.5
2018,11,서울시,11.4,0,0.3,0,0.3,0
2018,11,인천시,25.6,49,7.2,46,6.6,8
2018,11,대전시,11.6,0,0,0,0,0
2018,11,광주시,41.9,0,5,0,3.6,0
2018,11,대구시,30,0,3.7,0,3.5,0
2018,11,세종시,12.2,0,1.6,0,1,0
2018,11,울산시,14.2,1.7,0,0,0,0
2018,11,부산시,53.2,0.8,9.9,0,8.1,0
2018,12,경기도,125.4,5.3,7.7,3,5.9,0.1
2018,12,강원도,218.4,327.9,40.3,48,36.1,9
2018,12,경상남도,204.1,48.6,36.6,32.8,33.4,5
2018,12,경상북도,324.3,390.4,66.7,114.5,58.9,29.8
2018,12,전라남도,700.8,310.7,244.9,135.8,202.4,20.3
2018,12,전라북도,213.7,19.5,74.3,5,58.8,1.2
2018,12,충청남도,339.3,2,61.3,0,54.7,0
2018,12,충청북도,129.2,0,33.2,0,25.7,0
2018,12,제주도,168.3,266.4,10.6,77,9.8,13.5
2018,12,서울시,11.4,0,0.3,0,0.3,0
2018,12,인천시,26.5,49,7.2,46,6.6,8
2018,12,대전시,11.6,0,0,0,0,0
2018,12,광주시,42.2,0,5,0,3.6,0
2018,12,대구시,31.5,0,4.2,0,4,0
2018,12,세종시,12.2,0,1.6,0,1,0
2018,12,울산시,14.2,1.7,0,0,0,0
2018,12,부산시,53.5,0.8,10.3,0,8.4,0
2019,1,경기도,126.1,5.3,7.7,3,5.9,0.1
2019,1,강원도,224.8,327.9,44.1,48,39.1,9
2019,1,경상남도,205.7,48.6,39.2,32.8,35.9,5
2019,1,경상북도,343.1,390.4,79.3,114.5,71.2,29.8
2019,1,전라남도,709.9,310.7,250.2,135.8,207.1,20.3
2019,1,전라북도,218,19.5,78.1,5,62.1,1.2
2019,1,충청남도,343.1,2,65.1,0,57.4,0
2019,1,충청북도,131.4,0,37.1,0,29.3,0
2019,1,제주도,176.8,265,11.8,77,10.8,13.5
2019,1,서울시,11.4,0,0.3,0,0.3,0
2019,1,인천시,27.5,49,7.2,46,6.6,8
2019,1,대전시,11.6,0,0,0,0,0
2019,1,광주시,44.7,0,5.1,0,3.7,0
2019,1,대구시,33.6,0,4.2,0,4,0
2019,1,세종시,12.5,0,2,0,1.3,0
2019,1,울산시,14.7,1.7,0.5,0,0.5,0
2019,1,부산시,54,0.8,10.3,0,8.4,0
2019,2,경기도,127.6,5.3,7.7,3,5.9,0.1
2019,2,강원도,228.1,327.9,45,48,39.9,9
2019,2,경상남도,207.7,48.6,40.1,32.8,36.6,5
2019,2,경상북도,346.1,390.4,83.1,114.5,75,29.8
2019,2,전라남도,719,310.7,253.4,135.8,210.1,20.3
2019,2,전라북도,219.7,19.5,79.6,5,63,1.2
2019,2,충청남도,357.2,2,70.6,0,61.6,0
2019,2,충청북도,131.9,0,37.1,0,29.3,0
2019,2,제주도,182.2,265,11.8,77,10.8,13.5
2019,2,서울시,11.4,0,0.3,0,0.3,0
2019,2,인천시,28.4,49,7.2,46,6.6,8
2019,2,대전시,11.6,0,0,0,0,0
2019,2,광주시,44.9,0,5.1,0,3.7,0
2019,2,대구시,33.6,0,4.2,0,4,0
2019,2,세종시,12.5,0,2,0,1.3,0
2019,2,울산시,14.7,1.7,0.5,0,0.5,0
2019,2,부산시,54,0.8,10.3,0,8.4,0
2019,3,경기도,128,5.3,8.1,3,6.3,0.1
2019,3,강원도,228.3,327.9,47.2,48,42.1,9
2019,3,경상남도,209.7,48.6,41.1,32.8,37.4,5
2019,3,경상북도,357.1,390.4,89.1,114.5,80.2,29.8
2019,3,전라남도,723.3,310.7,254.8,135.8,211.6,20.3
2019,3,전라북도,229,19.5,83.3,5,66.4,1.2
2019,3,충청남도,364.1,2,78.5,0,67.6,0
2019,3,충청북도,135.9,0,42.3,0,34.3,0
2019,3,제주도,195.3,265,11.8,77,10.8,13.5
2019,3,서울시,11.4,0,0.3,0,0.3,0
2019,3,인천시,29.6,49,7.2,46,6.6,8
2019,3,대전시,11.6,0,0,0,0,0
2019,3,광주시,45.2,0,5.1,0,3.7,0
2019,3,대구시,33.6,0,4.2,0,4,0
2019,3,세종시,12.5,0,2,0,1.3,0
2019,3,울산시,14.7,1.7,0.5,0,0.5,0
2019,3,부산시,54,0.8,10.3,0,8.4,0
2019,4,경기도,129.8,5.3,8.1,3,6.3,0.1
2019,4,강원도,228.3,327.9,47.2,48,42.1,9
2019,4,경상남도,215.3,48.6,41.7,32.8,37.9,5
2019,4,경상북도,360.4,390.4,91.1,114.5,81.8,29.8
2019,4,전라남도,726.6,310.7,258.6,135.8,215.6,20.3
2019,4,전라북도,229.7,19.5,83.9,5,67,1.2
2019,4,충청남도,369.2,2,85.7,0,74.4,0
2019,4,충청북도,138.8,0,45.1,0,36.8,0
2019,4,제주도,201.5,265,11.8,77,10.8,13.5
2019,4,서울시,11.4,0,0.3,0,0.3,0
2019,4,인천시,29.6,49,8.2,46,7.6,8
2019,4,대전시,11.6,0,0,0,0,0
2019,4,광주시,46.2,0,5.1,0,3.7,0
2019,4,대구시,33.6,0,4.2,0,4,0
2019,4,세종시,12.5,0,2,0,1.3,0
2019,4,울산시,14.7,1.7,0.5,0,0.5,0
2019,4,부산시,54,0.8,10.3,0,8.4,0
2019,5,경기도,129.8,5.3,10.3,3,8.3,0.1
2019,5,강원도,235.2,327.9,49,48,43.7,9
2019,5,경상남도,215.7,48.6,43.4,32.8,39.3,5
2019,5,경상북도,362.2,390.4,94.9,114.5,85.1,29.8
2019,5,전라남도,728.2,310.7,259.2,135.8,216.1,20.3
2019,5,전라북도,231.7,19.5,84.6,5,67.5,1.2
2019,5,충청남도,384.6,2,95.4,0,83.8,0
2019,5,충청북도,146.2,0,48.9,0,40.3,0
2019,5,제주도,205.6,265,11.8,77,10.8,13.5
2019,5,서울시,11.4,0,0.3,0,0.3,0
2019,5,인천시,29.6,49,9.3,46,8.6,8
2019,5,대전시,11.6,0,0,0,0,0
2019,5,광주시,46.2,0,5.1,0,3.7,0
2019,5,대구시,33.6,0,4.2,0,4,0
2019,5,세종시,12.5,0,2,0,1.3,0
2019,5,울산시,14.7,1.7,0.5,0,0.5,0
2019,5,부산시,54.8,0.8,10.3,0,8.4,0
2019,6,경기도,140.3,5.3,11.3,3,9.3,0.1
2019,6,강원도,241.4,327.9,49,48,43.7,9
2019,6,경상남도,222.4,48.6,46.4,32.8,42.3,5
2019,6,경상북도,368.4,390.4,95.7,114.5,85.9,29.8
2019,6,전라남도,737.9,310.7,267.1,135.8,223.9,20.3
2019,6,전라북도,244.9,19.5,86.1,5,68.4,1.2
2019,6,충청남도,465.2,2,161.4,0,136.9,0
2019,6,충청북도,150.2,0,48.9,0,40.3,0
2019,6,제주도,209.9,265,11.8,77,10.8,13.5
2019,6,서울시,11.4,0,0.3,0,0.3,0
2019,6,인천시,29.6,49,9.3,46,8.6,8
2019,6,대전시,11.6,0,0,0,0,0
2019,6,광주시,46.6,0,5.1,0,3.7,0
2019,6,대구시,33.6,0,4.2,0,4,0
2019,6,세종시,12.5,0,2,0,1.3,0
2019,6,울산시,14.7,1.7,0.5,0,0.5,0
2019,6,부산시,54.8,0.8,10.3,0,8.4,0
2019,7,경기도,155.3,5.3,11.3,3,9.3,0.1
2019,7,강원도,246.6,327.9,53,48,47.7,9
2019,7,경상남도,224.8,48.6,47.8,32.8,43.4,5
